category,cheap_decode_seconds,cheap_encode_seconds,cheap_payload_bpb,file,neural_gate_decode_seconds,neural_gate_encode_seconds,neural_gate_payload_bpb,sample_bytes,zlib_bpb,zstd19_bpb
training-domain-test,0.674047857000005,0.6775398780000614,3.7001953125,self-v2-test,3.168375621999985,3.16366363599991,1.70947265625,2048,2.93359375,3.0
repetition,0.6476700580001307,0.6413553790000606,0.02392578125,aaa.txt,1.1166147960000217,1.1199293090000992,0.0263671875,2048,0.08984375,0.0703125
random-64-symbol-alphabet,0.7577097909997974,0.6703885479998917,6.4267578125,random.txt,3.212757164999857,3.2056958969999414,6.42529296875,2048,6.15234375,6.18359375
