balanced_compute_fraction,balanced_decision_byte,balanced_payload_bpb,balanced_route,category,cheap_payload_bpb,file,max_compute_fraction,max_decision_byte,max_payload_bpb,max_route,neural_payload_bpb,oracle_payload_bpb,sample_bytes
1.0,4,1.7919921875,neural-gate,training-domain-test,3.898681640625,self-v2-test,1.0,4,1.7919921875,neural-gate,1.789794921875,1.789794921875,4096
0.001220703125,5,0.0126953125,cheap-gate,repetition,0.0126953125,aaa.txt,0.0078125,32,0.0126953125,cheap-gate,0.013916015625,0.0126953125,4096
0.00390625,16,6.262451171875,cheap-gate,random-64-symbol-alphabet,6.262451171875,random.txt,0.0078125,32,6.262451171875,cheap-gate,6.26171875,6.26171875,4096
