admitted_blocks,budget_violations,max_model_eval_fraction,mean_admitted_byte_fraction,mean_model_eval_fraction,mean_payload_bpb,search_codec_decision_mismatches,threshold
48,0,0.4990234375,0.5,0.4591878255208333,4.613993326822917,0,20
48,0,0.4990234375,0.5,0.45281982421875,4.61614990234375,0,22
48,0,0.4990234375,0.5,0.45281982421875,4.61614990234375,0,24
48,0,0.4990234375,0.5,0.45452880859375,4.619730631510417,0,26
48,0,0.4990234375,0.5,0.45452880859375,4.620015462239583,0,28
48,0,0.4990234375,0.5,0.4584757486979167,4.629964192708333,0,30
