decode_seconds,encode_seconds,file,payload_bpb,probe_bytes,selected_route
3.297401997999998,3.2782743270000196,dickens,4.0908203125,64,neural-gate
3.4657606439999995,3.314052086000004,dickens,4.1201171875,128,neural-gate
3.3194131729999867,3.3312625099999877,dickens,4.16845703125,256,neural-gate
3.3682047000000352,3.378227982999988,dickens,4.2255859375,512,neural-gate
2.0660184749999644,2.0646993739999857,ooffice,1.408203125,64,neural-gate
2.0859504300000253,2.075853642000027,ooffice,1.44873046875,128,neural-gate
2.0977749909999943,2.110774757999991,ooffice,1.435546875,256,neural-gate
2.1776760380000155,2.16292506100001,ooffice,1.42431640625,512,neural-gate
3.269151889999989,3.274611065999977,osdb,6.2685546875,64,neural-gate
3.3691666230000124,3.2767803300000082,osdb,6.27001953125,128,neural-gate
3.305506466000054,3.30460524099999,osdb,6.271484375,256,neural-gate
3.3705383459999894,3.3786731269999564,osdb,6.27294921875,512,neural-gate
3.157009801000015,3.143340529999989,reymont,3.720703125,64,neural-gate
3.252273821000017,3.1619840719999956,reymont,3.7197265625,128,neural-gate
3.1959475130000214,3.1930252540000197,reymont,3.7265625,256,neural-gate
3.2527574060000006,3.2627414810000346,reymont,3.728515625,512,neural-gate
0.8739630150000153,0.8656637849999811,xml,3.54248046875,64,cheap-gate
2.8501823599999625,2.8440504700000133,xml,3.44287109375,128,neural-gate
2.9061742179999897,2.877105066000013,xml,3.44287109375,256,neural-gate
2.962199034999969,2.9547042479999845,xml,3.44384765625,512,neural-gate
3.3207409450000114,3.3153452939999966,x-ray,5.9794921875,64,neural-gate
3.4268702080000253,3.3431643429999554,x-ray,5.982421875,128,neural-gate
3.3541138140000157,3.35321449099996,x-ray,5.98388671875,256,neural-gate
3.43127507600002,3.441790408999964,x-ray,5.978515625,512,neural-gate
