category,cheap_decode_seconds,cheap_encode_seconds,cheap_payload_bpb,file,neural_decode_seconds,neural_encode_seconds,neural_payload_bpb,router_decode_seconds,router_encode_seconds,router_payload_bpb,router_selected_route,sample_bytes,zlib_bpb,zstd19_bpb
english-text,0.6751932850000344,0.6659587020000117,4.35791015625,dickens,3.174540823999962,3.1413940460000163,4.0498046875,3.377011660999983,3.3229426490000264,4.16845703125,neural-gate,2048,4.05859375,4.08984375
windows-dll,0.726420848000032,0.7237364619999767,1.384765625,ooffice,1.9262159470000029,1.9237614660000304,1.40771484375,2.112476173999994,2.1017698050000035,1.435546875,neural-gate,2048,1.6015625,1.609375
mysql-database,0.6981113110000479,0.7014251530000024,6.27978515625,osdb,3.226715062999972,3.148472331999983,6.26611328125,3.310731211000018,3.310752391000051,6.271484375,neural-gate,2048,6.046875,6.0078125
polish-pdf,0.6662343419999956,0.681334435999986,3.7275390625,reymont,3.021265449999987,3.0082796729999473,3.69482421875,3.2078479809999862,3.1898500859999785,3.7265625,neural-gate,2048,2.68359375,2.625
xml,0.6743006440000272,0.6712751150000145,3.54248046875,xml,2.7018801080000117,2.6940351519999695,3.4423828125,2.8707050419999973,2.876322619000007,3.44287109375,neural-gate,2048,2.34765625,2.37890625
medical-xray,0.7457753490000414,0.7428622749999931,5.97802734375,x-ray,3.174189077000051,3.255714855000008,5.97802734375,3.3604914929999836,3.359081500000002,5.98388671875,neural-gate,2048,5.81640625,5.734375
