ablation,feature_count,features,fit_payload_bpb,validation_model_eval_fraction,validation_payload_bpb
all_features,1,unique_count,4.650726318359375,0.44097900390625,4.40618896484375
minus_histogram,0,,4.884979248046875,0.0,4.599365234375
