block_index,bytes,cheap_payload_bits,distinct_transition_count,hybrid_model_evaluations,hybrid_payload_bits,hybrid_saving_bits,longest_run,max_hist_count,neural_model_evaluations,neural_payload_bits,probe_code_bits_ceil,probe_code_bits_floor,start,stream,surprise_early_minus_late,surprise_max_ceil,surprise_range_ceil,surprise_sum_ceil,surprise_variance_proxy,transition_count,unique_count,very_surprising_count
5,512,1516,15,280,1424,92,1,3,280,1404,122,121,2560,p13-mix-a,5,9,2,135,127,15,10,9
6,512,1771,14,511,1621,150,1,3,511,1562,125,124,3072,p13-mix-a,2,9,2,138,92,15,12,11
7,512,1830,14,511,1665,165,2,3,511,1629,125,124,3584,p13-mix-a,-1,9,2,137,127,14,11,11
0,512,2487,15,511,2079,408,2,2,511,2055,131,130,0,p13-mix-b,-1,9,1,141,39,14,12,13
1,512,2325,13,511,2140,185,2,4,511,2117,127,126,512,p13-mix-b,-8,9,6,136,544,13,10,13
2,512,1402,11,511,1406,-4,3,6,511,1393,113,112,1024,p13-mix-b,6,9,6,122,828,11,4,8
3,512,2538,12,511,2163,375,2,6,511,2156,109,108,1536,p13-mix-b,13,9,4,119,351,13,4,3
4,512,2392,15,511,2099,293,1,3,511,2049,124,123,2048,p13-mix-b,3,9,2,137,127,15,12,11
5,512,3912,15,511,3876,36,2,3,511,3821,123,122,2560,p13-mix-b,2,9,2,136,96,14,10,9
6,512,4179,15,511,4174,5,1,1,511,4174,129,128,3072,p13-mix-b,-1,9,1,143,15,15,16,15
7,512,4166,15,511,4166,0,1,1,511,4168,129,128,3584,p13-mix-b,-1,9,1,143,15,15,16,15
0,512,2059,15,289,1767,292,1,3,289,1703,124,123,0,p13-mix-c,3,9,2,137,95,15,11,10
1,512,2554,15,511,2142,412,1,2,511,2081,125,124,512,p13-mix-c,1,9,1,139,55,15,12,11
2,512,2450,15,511,2104,346,2,2,511,2088,127,126,1024,p13-mix-c,4,9,6,136,544,13,14,13
3,512,3633,15,511,3573,60,2,3,511,3544,127,126,1536,p13-mix-c,2,9,1,140,48,14,12,12
4,512,3107,15,511,2813,294,1,2,511,2813,128,127,2048,p13-mix-c,0,9,1,142,28,15,15,14
5,512,2137,15,495,1954,183,1,2,495,1915,128,127,2560,p13-mix-c,0,9,1,142,28,15,15,14
6,512,2330,15,511,2112,218,1,2,511,2079,128,127,3072,p13-mix-c,0,9,1,142,28,15,15,14
7,512,2458,13,511,2182,276,1,2,511,2157,123,122,3584,p13-mix-c,6,9,3,136,160,15,11,10
0,512,1738,15,511,1605,133,1,2,511,1560,125,124,0,p13-mix-d,3,9,1,139,55,15,12,11
