name,parameter_count,best_validation_bpb,best_step,train_seconds,steps_per_second,peak_rss_mib
m64-l3,135616,3.809681978001494,150,3.803888399999991,39.43333353312898,337.05859375
m80-l2,148096,3.8166204003850117,150,3.322210059999989,45.15066696294348,333.453125
m72-l2,124096,3.8368559986672164,150,3.1245099719999985,48.007528010539524,330.91796875
m64-l2,102144,3.9632900199131083,150,2.802263871000008,53.52814970507093,329.96484375
m56-l2,82240,4.028170143078331,150,2.6232836309999925,57.18024472360245,327.66015625
m48-l2-control,64384,4.044748516853794,150,2.322815378999991,64.57680681646657,326.1015625
