precision_bits,float_model_bpb,quantized_ideal_bpb
12,1.7056331002101908,1.7919512773929303
13,1.7056331002101908,1.747793351784369
14,1.7056331002101908,1.726663032180707
15,1.7056331002101908,1.7160549281689594
16,1.7056331002101908,1.7108770456175342
17,1.7056331002101908,1.7082466933576206
18,1.7056331002101908,1.7069406898493873
